16981		:	1
34377		:	2
46159		:	3
55783		:	4
63585		:	5
70699		:	6
77005		:	7
82309		:	8
87895		:	9
92743		:	10
97485		:	11
101797		:	12
105983		:	13
109449		:	14
113105		:	15
116605		:	16
120089		:	17
123581		:	18
126393		:	19
129479		:	20
132526		:	21
135215		:	22
137707		:	23
140135		:	24
2		:	9
3		:	11
26089		:	12
45373		:	13
59597		:	14
70995		:	15
81295		:	16
90039		:	17
98033		:	18
105837		:	19
113137		:	20
119743		:	21
126247		:	22
132367		:	23
138307		:	24
144001		:	25
149457		:	26
154393		:	27
159479		:	28
164353		:	29
169143		:	30
173797		:	31
178269		:	32
182507		:	33
186771		:	34
190691		:	35
194577		:	36
198305		:	37
202113		:	38
205729		:	39
209407		:	40
212915		:	41
216343		:	42
219809		:	43
223237		:	44
226469		:	45
229737		:	46
232763		:	47
235735		:	48
238801		:	49
241795		:	50
244791		:	51
247635		:	52
250357		:	53
253189		:	54
256001		:	55
258739		:	56
261395		:	57
263777		:	58
266287		:	59
268827		:	60
271365		:	61
273895		:	62
276401		:	63
278741		:	64
281187		:	65
283587		:	66
285923		:	67
288157		:	68
290455		:	69
292653		:	70
294909		:	71
297129		:	72
298999		:	73
41267		:	1
65759		:	2
84867		:	3
100415		:	4
114293		:	5
126551		:	6
137883		:	7
148401		:	8
157891		:	9
166813		:	10
175301		:	11
182513		:	12
189882		:	13
197033		:	14
203363		:	15
209369		:	16
214425		:	17
220123		:	18
225749		:	19
231415		:	20
236965		:	21
242315		:	22
247195		:	23
252083		:	24
256995		:	25
261623		:	26
266205		:	27
270719		:	28
275083		:	29
279227		:	30
283359		:	31
287343		:	32
291131		:	33
295131		:	34
298811		:	35
302443		:	36
306075		:	37
309541		:	38
313159		:	39
316601		:	40
319917		:	41
323317		:	42
326499		:	43
329481		:	44
332395		:	45
335577		:	46
338597		:	47
341673		:	48
344569		:	49
347509		:	50
350441		:	51
353285		:	52
356031		:	53
358715		:	54
361407		:	55
363947		:	56
366635		:	57
34373		:	1
62129		:	2
82267		:	3
98339		:	4
112003		:	5
3		:	53
14116		:	1
49687		:	2
72854		:	3
90309		:	4
105407		:	5
117633		:	6
129557		:	7
140370		:	8
150079		:	9
536		:	1
64706		:	2
107775		:	3
140087		:	4
166588		:	5
189441		:	6
209581		:	7
227427		:	8
243981		:	9
259145		:	10
273219		:	11
286539		:	12
299121		:	13
310966		:	14
322289		:	15
333259		:	16
343749		:	17
353841		:	18
363085		:	19
372375		:	20
381196		:	21
389723		:	22
398075		:	23
406099		:	24
413735		:	25
421325		:	26
428739		:	27
435913		:	28
442783		:	29
449593		:	30
456219		:	31
462503		:	32
468613		:	33
474639		:	34
480669		:	35
486565		:	36
492515		:	37
498319		:	38
503891		:	39
509559		:	40
515125		:	41
520465		:	42
525855		:	43
531169		:	44
536381		:	45
541457		:	46
546531		:	47
551461		:	48
556309		:	49
561193		:	50
566049		:	51
570827		:	52
575483		:	53
580142		:	54
584767		:	55
589309		:	56
593793		:	57
598263		:	58
602549		:	59
606877		:	60
611213		:	61
615465		:	62
619491		:	63
